channel,wTime,sTime,peakViews,avgViews,followers
Klean,545108145,169605,101124,2801,276242
Gladd,543954570,171195,54477,2779,337972
CriticalRole,539495145,21300,110800,17689,571210
Vinesauce,536989080,86790,19065,6125,442493
ludwig,525883695,94575,60346,5368,542580
RduLIVE,525737445,127380,11854,3953,234884
Hiko,523057245,79665,41644,5268,1001350
FENGRUSH,521568750,100605,16128,4985,95643
Chess,521511525,96315,83666,5767,326118
72hrs,519458565,136515,30702,3756,1024814
TwitchRivals,516113670,36555,109148,14509,999480
hashinshin,515812965,192255,12540,2483,570621
JoshOG,510984165,159300,85051,2957,1748928
B0aty,510323715,151215,22375,3152,516113
AustinShow,509643945,21000,72199,24739,840624
39daph,509052375,135495,12648,3766,505362
scump,506838930,71355,79976,6789,893010
Kyle,501208575,161295,9339,3059,182260
Aydan,495563580,140595,51268,3507,1701314
Mongraal,492733995,27060,89706,18180,2951980
EmadGG,487281450,132630,67732,2741,702744
lilypichu,477949200,56280,33075,8407,1363222
KingGeorge,472786395,160140,12621,2914,767727
KingRichard,472405995,137175,17327,3312,1536757
Zizaran,460519830,156195,20745,2552,267004
imls,460332570,78945,32758,5621,392024
TSM_ImperialHal,459076530,120975,23107,3550,302593
Ramee,457242510,159825,10845,2825,132642
Towelliee,453487500,183090,15495,2392,705098
FollowGrubby,451910415,132015,15296,3365,430649
IWillDominate,442870530,93480,23813,4591,797244
Nadeshot,440331540,50175,40327,7985,1472104
buddha,438460680,135090,11971,3184,247303
Deadlyslob,438143850,119085,104568,3088,315637
ESAMarathon,433329345,301395,22132,1460,244440
Nmplol,429213420,63870,24687,6767,455444
Sequisha,426325350,163530,19755,2540,252495
HusKerrs,425044665,107610,39433,3247,361360
Shiphtur,420316860,118410,19688,3414,709343
BarbarousKing,419187600,188895,13419,2244,159402
moistcr1tikal,415091820,103170,42135,3977,1166681
Rush,412717875,86265,15405,4731,542991
LosPollosTV,411900525,69900,54323,5671,476096
DreamLeague,411414600,244560,147514,1751,349054
Voyboy,411274050,80670,21187,4632,1251182
DatModz,409985220,228615,14288,1753,270720
dafran,408885990,92565,19611,4319,599036
Aurateur,407829960,163815,15547,2492,142427
pokelawls,407214675,118335,22496,3352,668807
A_Seagull,407156655,95160,28779,4193,1028544
koil,403848390,145035,13421,2791,299033
itsHafu,400822020,123375,34345,3276,787371
StaysafeTV,399746130,135180,15608,2876,149648
Loeya,398289900,150495,7955,2635,1233300
btssmash,389890800,362970,94083,1061,216558
Payo,385755615,137400,12274,2772,175503
Shotz,385739280,153105,10316,2523,159763
m0xyy,384746505,136095,25387,2431,461534
LexVeldhuis,380251830,73935,58416,4939,244467
NateHill,379971075,111555,41610,3311,1055613
Emongg,379682235,155910,21922,2228,504653
fl0m,379633995,188070,19318,1931,658323
AsmodaiTV,379345935,132360,11751,2796,247056
Grimmmz,377312595,176580,21993,2153,1001739
BurkeBlack,372767025,171675,4922,2154,276421
Trick2g,371417130,132945,28917,2650,1476226
FORMAL,369971310,137190,16518,2391,512592
Fortnite,369166335,12030,169084,28584,3558217
ANGRYPUG,360278835,184845,9822,1892,366463
btscsgo,357966315,57165,74949,6530,219539
ShivFPS,355389630,203175,7216,1782,236407
Distortion2,354144315,170220,11495,1953,314170
boxbox,353396640,117720,25314,2717,1717150
singsing,346171920,126795,11839,2735,572005
bateson87,342162660,98730,20204,3344,598678
NymN,340095510,100125,23488,3402,241746
NairoMK,335695215,106200,22074,3054,339545
UnknownxArmy,333869670,92250,41700,3735,850944
s1mple,333097410,24615,34971,12723,1681884
Sjow,331726155,149700,8140,2189,240206
scoped,330160515,63360,47343,5165,731808
keanelol,327242790,147255,7208,2176,162917
sips_,325731015,108990,7872,2984,430755
ESL_CSGOb,325637220,52530,89949,5114,575769
midbeast,324433515,118005,16153,2652,330060
Veritas,320121405,135150,103833,1595,182492
daltoosh,319194420,154440,16445,2038,241602
TSM_Viss,316437645,117795,18844,2668,762778
Anthony_Kongphan,316366395,163920,49085,1858,462128
EASPORTSFIFA,313078095,12165,106126,24395,1287954
